NoText_reg,sLDA_K2,sLDA_K5,sLDA_K10,sLDA_K15,sLDA_K20,sLDA_K25,sLDA_K30,sLDA_K40,sLDA_K50
-0.09445065862354421,0.06079929293851253,-0.07482250957161515,-0.11485056200388219,-0.22606093161387728,-0.26847704215190027,0.0,0.0,0.0,0.0
-0.09445065862354421,0.06915339816075655,-0.07072660441697319,-0.11084086031461932,-0.22529064819658712,-0.2652609115632228,0.0,0.0,0.0,0.0
-0.09445065862354421,0.071408187156988,-0.06921414406475099,-0.1097907263300118,-0.21910801100509847,-0.26458505738196025,0.0,0.0,0.0,0.0
-0.09445065862354421,0.07178274634599431,-0.06664851559125078,-0.10841751325989034,-0.21846982390710887,-0.2618140311527588,0.0,0.0,0.0,0.0
-0.09445065862354421,0.07190574603950112,-0.06620040823678919,-0.10690887639389283,-0.2172979611991342,-0.2605960290021203,0.0,0.0,0.0,0.0
-0.09445065862354421,0.07192820154724863,-0.06585860333567894,-0.10636794667201996,-0.21620365798081254,-0.2594519413778894,0.0,0.0,0.0,0.0
-0.09445065862354421,0.07298583205318909,-0.06522847176238167,-0.10605969495348061,-0.21560820877598325,-0.25920750568415024,0.0,0.0,0.0,0.0
-0.09445065862354421,0.07373035217088028,-0.06395655285910845,-0.10597966966394981,-0.2119158039645972,-0.2585032525680213,0.0,0.0,0.0,0.0
-0.09445065862354421,0.07445632368795232,-0.06373575889416008,-0.10578643964416948,-0.21123357854674227,-0.2576397072396006,0.0,0.0,0.0,0.0
-0.09445065862354421,0.07565296375245073,-0.06299332148233477,-0.10569238070616922,-0.2111803199283745,-0.25697873409004585,0.0,0.0,0.0,0.0
-0.09189998120667155,0.07580991551815068,-0.06256235606251781,-0.10531507112351234,-0.21096561284509968,-0.25690276991076205,0.0,0.0,0.0,0.0
-0.09189998120667155,0.07623802266230793,-0.062436076078891505,-0.10516169241354494,-0.21051589071523205,-0.25685387674085197,0.0,0.0,0.0,0.0
-0.09189998120667155,0.0765878744145402,-0.062166537230106296,-0.10497100227465449,-0.21013003065482497,-0.2553814968099493,0.0,0.0,0.0,0.0
-0.09189998120667155,0.07705912182623406,-0.06197633666337415,-0.10480229694105218,-0.2098493455476504,-0.2552180137369868,0.0,0.0,0.0,0.0
-0.09189998120667155,0.0770847946470051,-0.061720788868840325,-0.10438478106210974,-0.20949593767453753,-0.2548457225152934,0.0,0.0,0.0,0.0
-0.09189998120667155,0.07719582719783769,-0.06145915633744825,-0.10430937697383608,-0.20927234517431847,-0.2542858879920678,0.0,0.0,0.0,0.0
-0.09189998120667155,0.07771912159750766,-0.06136354170315682,-0.10406834471333942,-0.20919133106087384,-0.25410485234937974,0.0,0.0,0.0,0.0
-0.09189998120667155,0.07788265855734931,-0.061091317880008225,-0.1038665782999405,-0.20917409211935803,-0.2538556742499295,0.0,0.0,0.0,0.0
-0.09189998120667155,0.0779730077507935,-0.06096490938036197,-0.10348540825497923,-0.20835067163592352,-0.2533975020318747,0.0,0.0,0.0,0.0
-0.09189998120667155,0.0789923118275872,-0.06075045126164368,-0.10346411768884733,-0.20822771565237158,-0.2533459476795526,0.0,0.0,0.0,0.0
-0.0894231617857052,0.07912174820946333,-0.06031906778652344,-0.10320232763479825,-0.2080448265477464,-0.25301545725208496,0.0,0.0,0.0,0.0
-0.0894231617857052,0.07914561099974657,-0.060208565924292405,-0.10277380098535586,-0.20798864579137605,-0.25294817779419704,0.0,0.0,0.0,0.0
-0.0894231617857052,0.07915068479992006,-0.05972196793750604,-0.10251907790194834,-0.20756157531658062,-0.2529321669926931,0.0,0.0,0.0,0.0
-0.0894231617857052,0.0793714163298742,-0.05935577634452262,-0.10233893541992443,-0.20720375341420977,-0.2528172576467363,0.0,0.0,0.0,0.0
-0.0894231617857052,0.07961951381096248,-0.05911528868438609,-0.10231874333302213,-0.20703790638443362,-0.2522388714096032,0.0,0.0,0.0,0.0
-0.0894231617857052,0.08021009137716903,-0.05861983037341672,-0.10229415847361939,-0.20697860893304815,-0.25186215003468493,0.0,0.0,0.0,0.0
-0.0894231617857052,0.08029430604462821,-0.05845469622693139,-0.10222669718997707,-0.20608512269488316,-0.25172919876369737,0.0,0.0,0.0,0.0
-0.0894231617857052,0.0805327007278868,-0.058450699654317186,-0.10219841582080005,-0.20604353978814813,-0.2510029308429871,0.0,0.0,0.0,0.0
-0.0894231617857052,0.08063905456858847,-0.058319730026694695,-0.10215751804505317,-0.20594923011586225,-0.2509661967375099,0.0,0.0,0.0,0.0
-0.0894231617857052,0.08064167072156947,-0.057857702324048285,-0.10213626510503387,-0.205745129617259,-0.2508945495065477,0.0,0.0,0.0,0.0
-0.08902778754974085,0.0806472085951571,-0.05760580702156673,-0.10209389241109104,-0.2057446813037075,-0.25087980626382894,0.0,0.0,0.0,0.0
-0.08902778754974085,0.0808087070524551,-0.05750090115693937,-0.10149789382145465,-0.20559929557595116,-0.2504903319852596,0.0,0.0,0.0,0.0
-0.08902778754974085,0.08106628282822256,-0.05704129890282884,-0.1014101771596021,-0.20555632495455506,-0.2504440516718492,0.0,0.0,0.0,0.0
-0.08902778754974085,0.0811147840158059,-0.05661739544588683,-0.10130330255850584,-0.2054563284224336,-0.250316928587711,0.0,0.0,0.0,0.0
-0.08902778754974085,0.0812612054321094,-0.056599476146592685,-0.10127635351510553,-0.20539841601255376,-0.25011560859409127,0.0,0.0,0.0,0.0
-0.08902778754974085,0.08157967293024707,-0.05635438132903478,-0.1009634002409005,-0.20495749192652407,-0.25003379328563,0.0,0.0,0.0,0.0
-0.08902778754974085,0.08193016544810623,-0.056278808746832484,-0.10079242771620822,-0.20495395914223669,-0.2499381403491338,0.0,0.0,0.0,0.0
-0.08902778754974085,0.08199535907148378,-0.05625263231241606,-0.10077972239166468,-0.20473257813481888,-0.24979759751961975,0.0,0.0,0.0,0.0
