,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
10066,746407,PNN.L,2001-03-14,2001-03-13, Pennon Group;,"FRONT PAGE - COMPANIES & MARKETS: Pennon Group to dispose of Pounds 300m waste
business", Pennon Group; HSBC Private Equity; Barclays Private Equity; HSBC;,Pennon Group HSBC Private Equity Barclays Private Equity HSBC,2023-04-03 18:53:45.880225,No
10067,1084770,PNN.L,2006-06-02,2006-06-01, Pennon Group;,Pennon Group lifted by its waste service, Pennon Group; Waste; Credit Suisse;,Pennon Group Waste Credit Suisse,2023-04-03 18:53:51.843771,No
