,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
5903,1053393,ECM.L,2005-11-09,2005-11-08, Electrocomponents;,Electrocomponents cautious as key project offsets growth, UK; EBS; Electrocomponents;,UK EBS Electrocomponents,2023-03-30 19:41:12.117573,No
5904,1053393,ECM.L,2005-11-09,2005-11-08, Electrocomponents;,Electrocomponents cautious as key project offsets growth, UK; EBS; Electrocomponents;,UK EBS Electrocomponents,2023-03-30 19:41:18.291926,No
