,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
5507,822924,CPG.L,2002-04-11,2002-04-10, Compass Group;,Blackburn to Compass Group PEOPLE," Compass Group  Peter; Marsh & McLennan Holdings; Compass Group; Nestle UK,; Food and Drink Federation;",Compass Group Peter Marsh McLennan Holdings Compass Group Nestle UK Food and Drink Federation,2023-03-30 17:45:52.392822,No
5508,1229925,CPG.L,2008-11-27,2008-11-26, Compass Group;,Compass Group serves up record on 30% advance, Compass Group; Compass; US;,Compass Group Compass US,2023-03-30 17:46:05.259058,Yes
5509,1364937,CPG.L,2011-08-23,2011-08-22, Compass Group;,Compass Group points the way as FTSE rises for first day in four, LONDON   Compass Group; US; Compass; Capital; John Wood Group; Siemens; Intel; Micro Focus International; Advent International; Micro Focus; Energy; Charter International; IG Group; Gulfsands Petroleum; 19.6; Avocet Mining; XX Small;,LONDON Compass Group US Compass Capital John Wood Group Siemens Intel Micro Focus International Advent International Micro Focus Energy Charter International IG Group Gulfsands Petroleum Avocet Mining XX Small,2023-03-30 17:46:12.037556,No
