,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
5733,1419249,DLGD.L,2012-11-30,2012-11-29, Direct Line;,Direct Line and Aviva to cut jobs, Direct Line; UK-focused Direct Line; Royal Bank; IT;,Direct Line UK focused Direct Line Royal Bank IT,2023-03-30 19:13:08.122294,Yes
5734,1442050,DLGD.L,2013-06-27,2013-06-26, Direct Line;,Direct Line, Royal Bank; Direct Line; UK; And Direct Line;,Royal Bank Direct Line UK And Direct Line,2023-03-30 19:13:20.098609,Yes
