,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
291,1521900,AMFW.L^J17,2015-11-06,2015-11-05, Amec Foster Wheeler;,Amec Foster Wheeler: hope springs eternal, Wheeler; UK; Toys; Wood Group;,Wheeler UK Toys Wood Group,2023-03-29 16:27:12.972699,Yes
292,1521900,AMFW.L^J17,2015-11-06,2015-11-05, Amec Foster Wheeler;,Amec Foster Wheeler: hope springs eternal, Wheeler; UK; Toys; Wood Group;,Wheeler UK Toys Wood Group,2023-03-29 16:27:24.192197,Yes
