run,sLDA_K2,sLDA_K5,sLDA_K10,sLDA_K15,sLDA_K20,sLDA_K25,sLDA_K30,sLDA_K40,sLDA_K50
1,0.1096349758242503,-0.02705575378931021,-0.07262120559001384,-0.17633624237805084,-0.22227727735039168,-0.22000753954805435,-0.1751214047231971,-0.1606331062453167,-0.08670841787675673
2,0.10826985740117252,-0.02643225097410707,-0.0724248412907417,-0.17805353306727567,-0.21515528024614736,-0.2179467013190432,-0.17601016992067064,-0.16190971260976028,-0.07752703887652446
3,0.10915929331789155,-0.02779078050348882,-0.07430741013605252,-0.17952087261981103,-0.21519174444327427,-0.21852910082857863,-0.17529115820776767,-0.1601544107253294,-0.07853434754308874
4,0.10759353040678048,-0.02695205109843735,-0.07606002551876312,-0.1773532964699864,-0.2150851144099044,-0.21802951761187012,-0.176122283892027,-0.16375960139737927,-0.0777805967270193
5,0.10774352871704812,-0.026988014455343903,-0.0860011892501581,-0.17735701663807402,-0.21529788570923503,-0.21871268547765588,-0.17369060364031097,-0.16210690069971184,-0.07937276827459842
6,0.10809056073191114,-0.02690417009419707,-0.09999616480856918,-0.17704678076306868,-0.2163797406090629,-0.2190404909919041,-0.17377022538502943,-0.15986164947211454,-0.07580475842105808
7,0.10810972796489626,-0.025941783050790243,-0.099904672804382,-0.1771348284550618,-0.21411677960943834,-0.21714653201733797,-0.17475507732791,-0.16045340042821585,-0.07535950226936543
8,0.1075731679090647,-0.027483751462119642,-0.1037317698614341,-0.17933855341789928,-0.21699749652805794,-0.21745148197241715,-0.1742543710814337,-0.16040704578297205,-0.07380491634209742
9,0.10812127082678377,-0.026734836874953972,-0.10278765954805219,-0.1783795850790631,-0.21546253175098368,-0.2169258243791148,-0.1749785313391769,-0.16103521908366775,-0.07701044219814018
10,0.10722195122774339,-0.02773093954074913,-0.09371472154470231,-0.17769110460052542,-0.21382322524422231,-0.2178101945791076,-0.1741080284632845,-0.16134293909878133,-0.07749517440626029
