NoText_reg,BTR_noCVEM_K2,BTR_noCVEM_K5,BTR_noCVEM_K10,BTR_noCVEM_K15,BTR_noCVEM_K20,BTR_noCVEM_K25,BTR_noCVEM_K30,BTR_noCVEM_K40,BTR_noCVEM_K50
-0.093377563,0.07805348,0.08338843,0.077996916,0.077358701,0.059505428,0.060435351,0.079638093,0.086159596,0.081977545
-0.093377563,0.078172583,0.083501876,0.078136167,0.077489434,0.059521607,0.060435573,0.080118811,0.087053667,0.082255127
-0.093377563,0.078211131,0.083900346,0.078318807,0.077694332,0.059537816,0.060483947,0.081654277,0.0870889,0.08284633
-0.093377563,0.078735436,0.08396906,0.078331984,0.077768956,0.059756303,0.060759242,0.081792628,0.087428812,0.08322117
-0.093377563,0.07879382,0.084003761,0.078777283,0.078217925,0.059777458,0.060861925,0.082266727,0.088207416,0.083821591
-0.093377563,0.078993924,0.084028324,0.078947232,0.078363843,0.060332869,0.060866835,0.082585219,0.088337994,0.084065888
-0.093377563,0.079122702,0.084097336,0.078967666,0.078870755,0.060445373,0.060975303,0.08271531,0.088663568,0.084312671
-0.093377563,0.079180809,0.084164661,0.079028534,0.079028727,0.060526129,0.061123647,0.082731377,0.088821231,0.084461142
-0.093377563,0.079258293,0.084330656,0.079295436,0.079276132,0.060592882,0.061212038,0.082748393,0.088865245,0.084545607
-0.089583601,0.079841468,0.084464654,0.07939269,0.079328321,0.060684832,0.061213529,0.082929849,0.089056255,0.084888516
-0.089583601,0.080164991,0.084506142,0.079678033,0.079370768,0.060706615,0.061294279,0.083002077,0.089399058,0.084910163
-0.089583601,0.080485442,0.084583749,0.079784066,0.079403207,0.060952442,0.061315924,0.083057141,0.089589848,0.08552777
-0.089583601,0.080609024,0.08463597,0.079830224,0.079907932,0.061450284,0.06172691,0.083122787,0.089781421,0.085847438
-0.089583601,0.081188344,0.084716403,0.080131661,0.080115293,0.061466285,0.062585688,0.083551076,0.0898517,0.085959828
-0.089583601,0.081199881,0.084787732,0.080162423,0.080342381,0.061856722,0.062730979,0.08367872,0.091312325,0.086015118
-0.089583601,0.081239946,0.084826322,0.080493756,0.08039861,0.061973599,0.062865947,0.08373595,0.091410783,0.086747811
-0.089583601,0.081929933,0.084943729,0.080670379,0.080716697,0.062040738,0.062957024,0.083884443,0.091803728,0.087082144
-0.089583601,0.08227486,0.085146208,0.080798379,0.080838433,0.062438384,0.06295757,0.083980463,0.091862679,0.087369011
-0.089583601,0.082321122,0.085153477,0.080975605,0.081053658,0.062586767,0.063104966,0.084304097,0.092308198,0.087430623
-0.088876356,0.082447143,0.085284289,0.081044618,0.081079887,0.062735215,0.063144355,0.084364495,0.092352841,0.087481026
-0.088876356,0.082521022,0.085284764,0.081151327,0.081333197,0.063035792,0.063167141,0.084557768,0.093017888,0.088106583
-0.088876356,0.082556192,0.085531037,0.08118431,0.081440977,0.063035919,0.063401158,0.084587992,0.093024667,0.088128929
-0.088876356,0.082592117,0.085876483,0.08126797,0.08147899,0.063194507,0.063412975,0.084616551,0.093152306,0.088574564
-0.088876356,0.08275846,0.085936527,0.081353055,0.081719876,0.063345934,0.063476709,0.084702817,0.093657525,0.088713723
-0.088876356,0.082767504,0.085949947,0.081423465,0.081781187,0.063434003,0.063479647,0.084841006,0.093754683,0.0893818
-0.088876356,0.083011244,0.086062152,0.08145337,0.081887523,0.063784815,0.063563181,0.085040296,0.093818325,0.089609552
-0.088876356,0.083150389,0.086098623,0.081499678,0.082287635,0.063819603,0.06383667,0.085200809,0.093993143,0.089773576
-0.088876356,0.083189884,0.086419917,0.081537441,0.0823406,0.063824217,0.063953259,0.085378431,0.094052311,0.089949785
-0.088876356,0.08351447,0.086573008,0.081763848,0.082608352,0.06391897,0.06402417,0.08540105,0.094109111,0.090009277
-0.088839281,0.083666483,0.086585515,0.082016064,0.082705848,0.063955476,0.064064365,0.085456785,0.094114011,0.090038836
-0.088839281,0.083684813,0.086635435,0.082110136,0.082753406,0.064052521,0.064066593,0.086010005,0.094288813,0.090081738
-0.088839281,0.083749433,0.08669653,0.082576544,0.082796648,0.064213984,0.064244667,0.086441381,0.094382734,0.090350056
-0.088839281,0.084140119,0.086753244,0.082777915,0.082842469,0.064246473,0.064497645,0.086503535,0.094481637,0.090382212
-0.088839281,0.084146522,0.086872894,0.082823325,0.083189546,0.064387671,0.064624003,0.086590413,0.094809341,0.090388469
-0.088839281,0.084150814,0.086887424,0.082988641,0.083219462,0.064399625,0.064719607,0.08676657,0.094855618,0.09046354
-0.088839281,0.084317197,0.086955298,0.083022259,0.083368093,0.064413181,0.064983289,0.08685491,0.094877365,0.090614465
-0.088839281,0.084456384,0.086985818,0.083282348,0.083577023,0.064761904,0.065336125,0.086877998,0.094878769,0.090884059
-0.088839281,0.084495944,0.087057256,0.083581179,0.08370667,0.064898524,0.065512869,0.086909927,0.09488324,0.090891315
-0.088839281,0.084609578,0.087077883,0.083622754,0.083765311,0.06494258,0.065626326,0.087060395,0.094952165,0.090897209
-0.088641168,0.084711551,0.08716569,0.083691334,0.084253021,0.065090059,0.065651922,0.087069464,0.09498177,0.091415581
-0.088641168,0.084741728,0.087220005,0.083755467,0.084345499,0.065257454,0.065720816,0.087358877,0.095134445,0.091640332
-0.088641168,0.084818011,0.087220285,0.083840133,0.084358004,0.065271642,0.065823368,0.087553112,0.09516093,0.09167996
-0.088641168,0.084952557,0.087274789,0.083967032,0.084374454,0.065487078,0.066217838,0.088024897,0.09519567,0.091755651
-0.088641168,0.085093701,0.087303457,0.083972269,0.084385552,0.065512623,0.066439159,0.088041293,0.09526329,0.092009376
-0.088641168,0.085222214,0.087393911,0.08399348,0.0844293,0.065520373,0.066490244,0.088480596,0.095263314,0.09239155
-0.088641168,0.085336753,0.087434921,0.084374796,0.08457129,0.065558242,0.066626444,0.088485443,0.095300714,0.092499082
-0.088641168,0.085400248,0.087610671,0.084680457,0.084574254,0.065662683,0.066629579,0.088536231,0.09533395,0.09259917
-0.088641168,0.085443426,0.087638884,0.084735705,0.084619447,0.065698348,0.066672441,0.088719784,0.095513193,0.092766143
-0.088641168,0.085535978,0.087745704,0.084750033,0.084803468,0.065895277,0.066794314,0.088781929,0.095561343,0.093130584
-0.088550027,0.085631015,0.08778761,0.085111306,0.085025544,0.065916115,0.067034373,0.088869343,0.095763033,0.09313098
-0.088550027,0.085683129,0.087811502,0.085250381,0.085304835,0.065973858,0.06707089,0.088876099,0.095924185,0.093341823
-0.088550027,0.085706177,0.087834614,0.085310511,0.085687384,0.066177876,0.067100096,0.088885691,0.096066614,0.093735667
-0.088550027,0.085754751,0.087855535,0.085323742,0.085757717,0.066217414,0.067219365,0.08898878,0.096264393,0.093759639
-0.088550027,0.085966889,0.087859747,0.085331959,0.085942568,0.066233275,0.067290885,0.089021772,0.096609766,0.093773203
-0.088550027,0.086021,0.088107116,0.085335168,0.085945411,0.066247387,0.06747049,0.089053822,0.09662568,0.093792668
-0.088550027,0.08605579,0.088129034,0.085375526,0.086230877,0.066386554,0.067595826,0.089100716,0.096635216,0.093877182
-0.088550027,0.086214274,0.088274386,0.085392103,0.086424632,0.066529158,0.067619205,0.089327848,0.09717888,0.093974992
-0.088550027,0.086225955,0.088353739,0.085513199,0.086457314,0.066826809,0.067643204,0.0893397,0.097249569,0.094071277
-0.088550027,0.086252927,0.088399556,0.085532037,0.086493275,0.067260561,0.067657297,0.089426029,0.097350743,0.094257433
-0.088404936,0.086278663,0.088518907,0.085563726,0.086575183,0.067407337,0.067812849,0.089428013,0.097461475,0.09442679
-0.088404936,0.086309009,0.088606542,0.08588079,0.086761597,0.067606629,0.067925351,0.089474608,0.097639891,0.094478104
-0.088404936,0.086394221,0.088648117,0.086074413,0.087053672,0.067634286,0.067943453,0.089542627,0.097720407,0.094561901
-0.088404936,0.086417321,0.088671406,0.086114248,0.087066711,0.067641052,0.068047138,0.089703199,0.097857189,0.094615166
-0.088404936,0.086509686,0.08877458,0.086139224,0.087140419,0.067687381,0.068298754,0.089793078,0.097928878,0.094621777
-0.088404936,0.086569153,0.088866274,0.086225622,0.087152136,0.067756083,0.068332015,0.08983327,0.097993051,0.094681277
-0.088404936,0.086610054,0.088953519,0.086368424,0.087236661,0.067930668,0.068377158,0.089910599,0.098018076,0.094710418
-0.088404936,0.086614775,0.089025878,0.086403164,0.087322845,0.068021722,0.06875232,0.089923472,0.098095665,0.094729611
-0.088404936,0.086636272,0.089027841,0.086544272,0.087545733,0.068050872,0.069279247,0.089940984,0.098112989,0.095117589
-0.088404936,0.086680048,0.089071709,0.086605922,0.087579973,0.068159403,0.06940969,0.089969896,0.098217171,0.095118018
-0.087820076,0.086755654,0.089076551,0.086639194,0.087672558,0.068330222,0.069549504,0.090008191,0.098223593,0.095178555
-0.087820076,0.086760221,0.0890908,0.086706379,0.087750337,0.06841883,0.069597812,0.090516359,0.098275152,0.095297133
-0.087820076,0.086868427,0.089122514,0.086884462,0.087819284,0.068428303,0.06968418,0.090522703,0.098279183,0.09531133
-0.087820076,0.086950686,0.089299222,0.086941025,0.08784375,0.068663126,0.070098617,0.090554044,0.098787995,0.095345658
-0.087820076,0.087018121,0.089386143,0.08704271,0.087848709,0.06868786,0.070161482,0.090565547,0.098878066,0.09537148
-0.087820076,0.08712006,0.089440792,0.087241284,0.088217913,0.068901514,0.070528657,0.090821822,0.098879132,0.095636464
-0.087820076,0.087238795,0.089485539,0.087279895,0.08847006,0.069172487,0.070550089,0.090939651,0.099066345,0.095838359
-0.087820076,0.087251393,0.089615963,0.087294508,0.088505486,0.069547586,0.070563736,0.091174047,0.099175463,0.095840583
-0.087820076,0.087374554,0.089630088,0.087399215,0.088523821,0.069791907,0.070838932,0.091411567,0.099262828,0.095970264
-0.087820076,0.087544327,0.089632826,0.087573446,0.088554539,0.069806533,0.070916544,0.091479934,0.099337534,0.096145519
-0.087532317,0.087563307,0.089727248,0.087631146,0.088588869,0.069841805,0.071014079,0.091504487,0.099521708,0.096197045
-0.087532317,0.087598164,0.089762963,0.087653276,0.088605045,0.069969924,0.071018625,0.091504584,0.099574872,0.096198403
-0.087532317,0.08768224,0.089770268,0.087662218,0.08864648,0.070341357,0.071084377,0.0915084,0.099663656,0.096242086
-0.087532317,0.087753565,0.089940251,0.087721196,0.088689265,0.070410251,0.071156047,0.091528191,0.09966469,0.096287163
-0.087532317,0.08785036,0.089987914,0.087731369,0.088692321,0.07051226,0.071215472,0.091795036,0.099676119,0.096331654
-0.087532317,0.087936401,0.09013512,0.087756372,0.088721104,0.070595952,0.071305058,0.091826099,0.099751786,0.096606064
-0.087532317,0.087984107,0.090135835,0.087776489,0.088863904,0.070809757,0.071323111,0.091955046,0.099777311,0.096845059
-0.087532317,0.087988074,0.090188874,0.087897604,0.088912436,0.070828574,0.071357686,0.092047036,0.099882197,0.096867655
-0.087532317,0.088057112,0.090213698,0.087906858,0.089066457,0.070841262,0.071523421,0.092054844,0.099895574,0.096945909
-0.087532317,0.088077349,0.090304833,0.087926188,0.089193329,0.070866365,0.071583302,0.092120431,0.099913548,0.097012262
-0.086702352,0.088150327,0.090339116,0.08797734,0.0894431,0.070899835,0.071592035,0.092135912,0.099913942,0.097035949
-0.086702352,0.088160943,0.090408445,0.088094542,0.089486046,0.07102913,0.071805429,0.092201469,0.099951716,0.097161097
