Code,Company,Company_permid,LSPM_number
ECM.L,Electrocomponent,4295895749,
EGS.L^I02,Energis,4295895051,
EIGE.L,EI Grp,4295894523,
EMA.L^C08,Ascential Group,4295895489,
EMG.L,Man Group,5037848572,
EMI.L^I07,EMI Group,4295894751,
ENQ.L,EnQuest,5000669507,
ENRC.L^K13,ENRC,4295897427,
ESSR.L^F14,Essar Engr,5000712433,
ETP.L^F02,Enterprise Oil,4295896201,
EVRE.L,EVRAZ,5036227579,
EXL.L^F00,Exel Plc,5001111158,
EXL.L^L05,Exel,4295895079,
EXPN.L,Experian,4295894507,
EZJ.L,easyJet,4295895815,
FERG.L,Ferguson,4295895874,
FGP.L,FirstGroup,4295894629,
FLG.L^D15,Friends Life,5000492228,
FP.L^K09,Friends Life FPG,5000047647,
FRE.L^C01,Orange Home UK,4295896522,
FRES.L,Fresnillo,4298007715,
FXPO.L,Ferrexpo,4295897873,
GACC.L^H98,General Accident,missing ,
GARD.L^G99,Guardian Ryl Ex,4295895000,
GB0274753.L^D04,GE Hlthcare,5000001303,
GFS.L,G4S,4295893850,
GKN.L,GKN,4295894743,
GLEN.L,Glencore,5034844193,
GLH.L^D07,Gallaher Group,4295894844,
GME.L^B01,Granada Media,4295897601,
GRM_pa.N^K04,Grand Metro,5000039190,
GSK.L,GSK,4295895781,
GUS.L^J06,Experian,4295894507,
HAYS.L,Hays,4295895731,
HBOS.L^A09,HBOS,4295895499,
HIBUgb.ISD^B16,Hibu,4295897758,
HIK.L,Hikma Pharma,4295897408,
HLMA.L,Halma,4295895428,
HMSO.L,Hammerson,4295895059,
HNS.L^H07,Hanson,4295894783,
HOME.L^I16,Home Retail Grp,4295894369,
HRGV.L,Hargreaves,4295894303,
HSBA.L,HSBC,8589934275,
IAP.L^L16,ICAP,4295896394,
ICAG.L,IAG,5001229906,
ICI.L^A08,ICI,4295894745,
ICIn.L^E02,ICI,4295894745,
IHG.L,InterContinental,4295894762,
III.L,3i Group,4295895807,
IMB.L,Imperial Brands,4295894647,
IMI.L,IMI,4295894784,
INCH.L,Inchcape,4295894627,
INDV.L,Indivior,5044066242,
INF.L,Informa,5044095778,
INTUP.L,Intu Prop,4295894337,
INVP.L,Investec,8589934271,
IOG.L^G02,Rwe Generation U,5000014472,
ISA.L,Inmarsat,4295897579,
ISYS.L^A14,Invensys,4295894812,
ITRK.L,Intertek Group,4295896316,
ITV.L,ITV,4295897705,
IVZ.L^L07,Invesco Holding,5000001640,
JE.L,Just Eat,5035918635,
JMAT.L,Johnson Matthey,4295894789,
KAZ.L,Kaz Minerals,4295896672,
KCOM.L,KCOM Group,4295896491,
KEL.L^B08,Kelda Group,4295898863,
KGF.L,Kingfisher,4295895853,
LAND.L,Land Secs Group,4295895028,
LAT.L^J02,Lattice Grp,4295896185,
LCL.L^C18,Ladbrokes Coral,4295895017,
LGEN.L,Legal General,4295895043,
LLOY.L,Lloyds Bank UK,8589934254,
LMI.L,Lonmin,4295895061,
LOG.L^H12,Logica,4295896553,
LSE.L,LSE,4298007752,
LVA.L^E99,LucasVar,4295894782,
MAB.L,Mitchells Butler,4295894222,
MCRO.L,Micro Focus Inte,4295897861,
MDCM.L,Mediclinic Intl,5040053800,
MEPC.L^J00,MEPC,4295894861,
MERL.L,Merlin Ent,5040274890,
MGGT.L,Meggitt,4295895717,
MKS.L,M&S,4295895044,
MNDI.L,Mondi,4295898932,
MONI.L^E03,NA,NA,
MRON.L,Melrose Inds,507641169,
MRW.L,Morrison Supermk,4295897683,
MSY.L^F12,Finastra Group,4295894020,
NAMt.L^F98,GE Healthcare limited,5000001303,
NG.L,National Grid,4295894468,
NGn.L^F10,NA,NA,
NMC.L,NMC Health,5037364885,
NRK.L^C08,Landmark Mart,4295895317,
NU.L^E00,Norwich Union,4295897637,
NVR.L^D05,Novar,4295894780,
NWB.L^D00,Natwest,4295895575,
NXT.L,Next UK,4295895761,
OML.L,Old Mutual,8589934234,
OOM.L^C06,Telefonica Erop,5000075627,
ORA.L^B00,Orange UK,4295894685,
PFC.L,Petrofac,4295894827,
PFG.L,Provident Fin,4295896565,
PILK.L^F06,Pilkington Group,5000064016,
PNN.L,Pennon Group,4295898865,
PO_p.L^C06,Penins Oriental,4295895105,
POLYP.L,Polymetal Intl,5036206981,
PPB.L,Paddy Power,4295874940,
PRU.L,Prudential,8589934227,
PSN.L,Persimmon,4295894068,
PSON.L,Pearson,4295894824,
PUB.L^H17,Punch Taverns,4295896311,
PWG.L^G02,EO UK,4295894196,
RB.L,Reckitt Benc Grp,4295894756,
RBS.L,Royal Bank Scot,8589934212,
RDSa.L,Shell,4295885039,
RDSb.L,Shell,4295885039,
REL.L,Relx,4295894769,
REX.L^G16,Rexam,4295894753,
RIIG.L^A14,Resources,4295895829,
RIO.L,Rio Tinto PLC,4295894786,
RMC.L^C05,Cemex Invsts,4298444756,
RMG.L,Royal Mail,5040257207,
RNK.L,Rank Group GB,4295894611,
RR.L,Rolls-Royce Hldg,5033562382,
RRS.L,Randgold Rsrcs,4295896108,
RSA.L,RSA Ins Grp,4295895232,
RSL.L^E08,Perl Grp No 1,5000001269,
RTK.L^L02,RT Group,4295894635,
RTO.L,Rentokil Initial,4295894497,
SAB.L^J16,Abi Sab Group,4295896447,
SB.L^L00,SmithKline Beech,5000432613,
SBRY.L,Sainsbury,4295895145,
SCTN.L^D08,Scottish Ltd,4295895180,
SDR.L,Schroders,4295895179,
SEAR.L^C99,Sear,4295895157,
SEL.L^B99,Sse Services,4295894165,
SEM.L^E01,SEMA,4295894087,
SFW.L^C04,Safeway,4295895314,
SGC.L,Stagecoach Grp,4295894942,
SGE.L,Sage Group,4295898763,
SGRO.L,SEGRO,4295895174,
SHP.L,Shire,4295894723,
SJP.L,St James's Place,4295898928,
SKG.L,Smurfit Kapa Grp,4295874981,
SKYB.L,Sky,4295897467,
SLA.L,Standard Life,4295897744,
SLP.L^G00,AXA UK,4297978221,
SMDS.L,DS Smith,4295894074,
SMIN.L,Smiths Group,4295895196,
SN.L,Smith & Nephew,4295895197,
SPD.L,Sports Direct,4295898967,
SPT.L,Spirent,4295895447,
SPW.L^F07,Scottish Power,4295894188,
SRP.L,Serco Group,4295898751,
SSE.L,SSE,4295894191,
STAN.L,StanChart,4295895205,
SVT.L,Severn Trent,4295896619,
SXC.L^D03,Six Continents,4296348605,
TATE.L,Tate & Lyle,4295894759,
TCG.L,Thomas Cook Grp,5000007246,
TEG.L^F98,ENERG 3,4295894719,
THN.L^K98,Thorn,4295894633,
THUS.L^K08,Thus Group,4295896587,
TI.L^L00,T I Group,4295894760,
TLW.L,Tullow,4295894926,
TOMK.L^I10,Gates Worldwide,4295895529,
TPK.L,Travis Perkins,4295894092,
TRIL.L^I09,Thomson Reut UK,4295896495,
TSCO.L,Tesco,4295895258,
TT.L^L14,TUI,4295897780,
TUIJe.L^B15,NA,NA,
TUIT.L,TUI,4295869210,
TW.L,Taylor PLC,4295894483,
TW.L^B00,Thames Wtr,4295896616,
TWT.L^G04,Telewest Com Net,4295895650,
UBIS.L^F00,Utd Biscuits,4295894788,
UBM.L,UBM,5000832689,
ULVR.L,Unilever,4295894770,
UU.L,United UT Grp,5000039682,
UUa.L^G05,NA,NA,
UUn.L^I03,NA,NA,
VED.L,Vedanta Res PLC,4295893857,
VOD.L,Vodafone Group,4295896661,
VSVS.L,Vesuvius,5037942828,
WEIR.L,Weir Group,4295895858,
WG.L,John Wood,4295897144,
WPG.L^A18,Worldpay Group,5046717927,
WPP.L,WPP,5037958512,
WTB.L,Whitbread,4295894799,
WWH.L^J00,Woolwich,4295894826,
XTA.L^E13,Xstrata Ltd,5000006235,
