Code,Company,Date_min,Date_max
LOG.L^H12,Logica,2000-03-20,2012-08-17
LSE.L,LSE,2002-05-13,2017-12-29
MAB.L,Mitchells Butler,2003-04-15,2012-04-17
MERL.L,Merlin Ent,2013-12-20,2017-12-29
MKS.L,M&S,2000-01-25,2017-12-29
MNDI.L,Mondi,2014-02-20,2017-12-29
MRON.L,Melrose Inds,2014-02-20,2017-12-29
MRW.L,Morrison Supermk,2004-04-15,2017-12-29
MSY.L^F12,Finastra Group,2000-03-20,2003-09-16
NG.L,National Grid,2000-01-25,2017-12-29
NXT.L,Next UK,2003-03-31,2017-12-29
PFC.L,Petrofac,2010-12-01,2017-12-29
PO_p.L^C06,Penins Oriental,2000-03-22,2006-03-07
PPB.L,Paddy Power,2017-01-09,2017-12-29
PRU.L,Prudential,2000-01-25,2017-12-29
PSON.L,Pearson,2000-04-25,2017-12-29
RB.L,Reckitt Benc Grp,2001-09-24,2015-12-16
RBS.L,Royal Bank Scot,2000-01-25,2017-12-29
RDSa.L,Shell,2005-08-15,2017-12-29
RDSb.L,Shell,2000-01-25,2017-12-29
REX.L^G16,Rexam,2013-10-31,2016-06-29
RIO.L,Rio Tinto PLC,2000-01-25,2017-12-29
RMG.L,Royal Mail,2013-11-28,2017-12-29
RR.L,Rolls-Royce Hldg,2000-01-25,2017-12-29
RRS.L,Randgold Rsrcs,2009-06-25,2017-12-29
RSA.L,RSA Ins Grp,2000-01-25,2017-12-29
RTO.L,Rentokil Initial,2000-01-25,2017-12-06
SAB.L^J16,Abi Sab Group,2003-03-31,2016-10-03
SB.L^L00,SmithKline Beech,2000-01-25,2000-12-22
SBRY.L,Sainsbury,2000-01-25,2017-12-29
SCTN.L^D08,Scottish Ltd,2003-10-14,2008-04-28
SDR.L,Schroders,2013-10-31,2017-12-29
SEM.L^E01,SEMA,2000-03-20,2001-04-30
SFW.L^C04,Safeway,2000-01-25,2004-03-05
SGE.L,Sage Group,2000-03-20,2017-12-29
SHP.L,Shire,2002-05-09,2017-12-29
SKG.L,Smurfit Kapa Grp,2011-04-26,2017-12-29
SKYB.L,Sky,2000-01-25,2017-12-29
SLA.L,Standard Life,2006-08-17,2017-12-29
SMIN.L,Smiths Group,2013-10-31,2017-12-29
SN.L,Smith & Nephew,2003-10-14,2017-12-29
SPD.L,Sports Direct,2014-02-20,2017-12-29
SRP.L,Serco Group,2013-10-31,2017-12-06
SSE.L,SSE,2003-03-31,2017-12-29
STAN.L,StanChart,2000-01-25,2017-12-29
SVT.L,Severn Trent,2009-06-25,2017-12-29
SXC.L^D03,Six Continents,2001-01-25,2003-04-11
TATE.L,Tate & Lyle,2006-11-29,2017-12-29
TLW.L,Tullow,2008-06-11,2017-12-29
TPK.L,Travis Perkins,2014-02-20,2017-12-29
TRIL.L^I09,Thomson Reut UK,2000-01-25,2009-09-09
TSCO.L,Tesco,2000-01-25,2017-12-29
TT.L^L14,TUI,2013-10-31,2014-12-10
TUIT.L,TUI,2014-12-17,2017-12-29
TW.L,Taylor PLC,2008-06-11,2010-06-18
TW.L^B00,Thames Wtr,2000-01-25,2001-02-14
TWT.L^G04,Telewest Com Net,2000-01-25,2002-11-05
ULVR.L,Unilever,2000-01-25,2017-12-29
UU.L,United UT Grp,2003-10-14,2017-12-29
VED.L,Vedanta Res PLC,2008-06-11,2017-12-29
VOD.L,Vodafone Group,2000-01-25,2017-12-29
WEIR.L,Weir Group,2014-02-20,2017-12-29
WTB.L,Whitbread,2000-01-25,2017-12-29
WWH.L^J00,Woolwich,2000-01-25,2000-10-20
XTA.L^E13,Xstrata Ltd,2005-12-19,2013-04-30
