"model","lr_coef","lr_se","rf_reg_coef","rf_reg_se","rf_class_coef","rf_class_se"
"RF + volatility, volume and return lags + implied volatility",0.0936877209958403,0.0162497051099056,0.124552204590253,0.0166269528012293,0.120546502177597,0.0166240499299932
"RF + volatility, volume and return lags + implied volatility + realised return",0.0595088143953508,0.0125828451458806,0.0561382400908103,0.0131677840004425,0.0558956092421169,0.0131656153390619
"RF + volatility, volume and return lags + implied volatility + trading volume",0.0204154848926905,0.0154505970917958,0.0481126511313801,0.016271625405851,0.0479082369835794,0.0162771141061859
"RF + volatility, volume and return lags + implied volatility + realised return + trading volume",0.0202143340542188,0.0122754501943819,0.0212568463536557,0.0130715614565769,0.0204010069701656,0.0130777695740309
